id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
ward_001001701526,Shwe Aik Ward,MMR001001701526,0101026,ward,township_001001,town_001001701,ရွှေအိုက်ရပ်ကွက်
ward_001001701527,Shwe Pyi Thar Ward,MMR001001701527,0101027,ward,township_001001,town_001001701,ရွှေပြည်သာရပ်ကွက်
ward_001001701528,Pan Ma Ti Ward,MMR001001701528,0101028,ward,township_001001,town_001001701,ပမ္မတီးရပ်ကွက်
ward_001001702501,Aye Yar U Ward,MMR001001702501,0160001,ward,township_001001,town_001001702,ဧရာဦးရပ်ကွက်
ward_001001702502,Aung Min Ga Lar Ward,MMR001001702502,0160002,ward,township_001001,town_001001702,အောင်မင်္ဂလာရပ်ကွက်
ward_001001702503,Aung Chan Thar Ward,MMR001001702503,0160003,ward,township_001001,town_001001702,အောင်ချမ်းသာရပ်ကွက်
vt_001002001,Mading,MMR001002001,0108200,village_tract,township_001002,,မဒိန်
vt_001002002,Moke Lwe,MMR001002002,0108201,village_tract,township_001002,,မုတ်လွဲ
vt_001002003,Hkat Shu,MMR001002003,0108202,village_tract,township_001002,,ခတ်ချို
vt_001002004,Aung Myay (1),MMR001002004,0108203,village_tract,township_001002,,အောင်မြေ(၁)
vt_001002005,Aung Myay (2),MMR001002005,0108204,village_tract,township_001002,,အောင်မြေ(၂)
vt_001002006,Mong Nar,MMR001002006,0108205,village_tract,township_001002,,မိုင်းနား
vt_001002007,Nawng Ta Law,MMR001002007,0108206,village_tract,township_001002,,နောင်တာလော
vt_001002008,Nawng Hee,MMR001002008,0108207,village_tract,township_001002,,နောင်ဟီး
vt_001002009,Ma Hkan Tee,MMR001002009,0108208,village_tract,township_001002,,မခန္တီး
vt_001002010,Zee Kyun,MMR001002010,0108209,village_tract,township_001002,,ဇီးကျွန်း
vt_001002011,Wu Yang,MMR001002011,0108210,village_tract,township_001002,,ဝူယန်
vt_001002012,Shwe Nyaung Pin,MMR001002012,0108211,village_tract,township_001002,,ရွှေညောင်ပင်
vt_001002013,Nawng Si Paw,MMR001002013,0108212,village_tract,township_001002,,နောင်စီပေါ
