id,name,code,zip,district_id:id,latitude,longitude
township_011006,Ye,MMR011006,,district_011D001,15.26214,97.83695
township_011007,Thaton,MMR011007,,district_011D002,16.98996,97.33631
township_011008,Paung,MMR011008,,district_011D002,16.65667,97.440215
township_011009,Kyaikto,MMR011009,,district_011D002,17.41263,96.951945
township_011010,Bilin,MMR011010,,district_011D002,17.21987,97.23931
township_012001,Sittwe,MMR012001,,district_012D001,20.13727,92.88551
township_012002,Ponnagyun,MMR012002,,district_012D001,20.33199,93.0043
township_012003,Mrauk-U,MMR012003,,district_012D005,20.59185,93.18844
township_012004,Kyauktaw,MMR012004,,district_012D005,20.84396,92.97282
township_012005,Minbya,MMR012005,,district_012D005,20.36452,93.27269
township_012006,Myebon,MMR012006,,district_012D005,19.951855,93.56639
township_012007,Pauktaw,MMR012007,,district_012D001,20.18098,93.06817
township_012008,Rathedaung,MMR012008,,district_012D001,20.48215,92.75606
township_012009,Maungdaw,MMR012009,,district_012D002,20.97807,92.3354925
township_012010,Buthidaung,MMR012010,,district_012D002,20.87498,92.525
township_012011,Kyaukpyu,MMR012011,,district_012D003,19.32025,93.644
township_012012,Munaung,MMR012012,,district_012D003,18.85506,93.7215
township_012013,Ramree,MMR012013,,district_012D003,19.063155,93.776855
township_012014,Ann,MMR012014,,district_012D003,19.681785,93.991855
township_012015,Thandwe,MMR012015,,district_012D004,18.451875,94.34415
township_012016,Toungup,MMR012016,,district_012D004,19.06472,94.16820667
township_012017,Gwa,MMR012017,,district_012D004,17.800405,94.535685
township_013001,Insein,MMR013001,,district_013D001,16.90177,96.09596
township_013002,Mingaladon,MMR013002,,district_013D001,16.99595,96.13013
township_013003,Hmawbi,MMR013003,,district_013D001,17.09987,96.0418
township_013004,Hlegu,MMR013004,,district_013D001,17.09875,96.22745
township_013005,Taikkyi,MMR013005,,district_013D001,17.39732667,95.83917333
township_013006,Htantabin,MMR013006,,district_013D001,17.0174,95.9827
township_013007,Shwepyithar,MMR013007,,district_013D001,16.95504,96.08329
township_013008,Hlaingtharya,MMR013008,,district_013D001,,
township_013009,Thingangyun,MMR013009,,district_013D002,16.83101,96.19323
township_013010,Yankin,MMR013010,,district_013D002,16.83601,96.1624
township_013011,South Okkalapa,MMR013011,,district_013D002,16.84625,96.17986
township_013012,North Okkalapa,MMR013012,,district_013D002,16.91878,96.16303
township_013013,Thaketa,MMR013013,,district_013D002,16.79301,96.20296
township_013014,Dawbon,MMR013014,,district_013D002,16.78192,96.18435
township_013015,Tamwe,MMR013015,,district_013D002,16.81018,96.17646
township_013016,Pazundaung,MMR013016,,district_013D002,16.77965,96.17439
township_013017,Botahtaung,MMR013017,,district_013D002,16.77197,96.16971
township_013018,Dagon Myothit (South),MMR013018,,district_013D002,16.84016,96.22582
township_013019,Dagon Myothit (North),MMR013019,,district_013D002,16.87774,96.19079
township_013020,Dagon Myothit (East),MMR013020,,district_013D002,16.91281,96.21323
township_013021,Dagon Myothit (Seikkan),MMR013021,,district_013D002,16.84049,96.27256
township_013022,Mingalartaungnyunt,MMR013022,,district_013D002,16.78891,96.16786
township_013023,Thanlyin,MMR013023,,district_013D003,16.76378,96.25184
township_013024,Kyauktan,MMR013024,,district_013D003,16.640905,96.4315
township_013025,Thongwa,MMR013025,,district_013D003,16.7586,96.52309
township_013026,Kayan,MMR013026,,district_013D003,16.90544,96.5605
township_013027,Twantay,MMR013027,,district_013D003,16.70734,95.93047
township_013028,Kawhmu,MMR013028,,district_013D003,16.54616,96.06195
township_013029,Kungyangon,MMR013029,,district_013D003,16.4394,96.0119
township_013030,Dala,MMR013030,,district_013D003,16.75855,96.143
township_013031,Seikgyikanaungto,MMR013031,,district_013D003,16.75779,96.11637
township_013032,Cocokyun,MMR013032,,district_013D003,14.13443,93.36821
township_013033,Kyauktada,MMR013033,,district_013D004,16.776225,96.161285
township_013034,Pabedan,MMR013034,,district_013D004,16.77698,96.15601
township_013035,Lanmadaw,MMR013035,,district_013D004,16.77991,96.14234
township_013036,Latha,MMR013036,,district_013D004,16.77712,96.15053
township_013037,Ahlone,MMR013037,,district_013D004,16.7824,96.12786
township_013038,Kyeemyindaing,MMR013038,,district_013D004,16.81457,96.12188
township_013039,Sanchaung,MMR013039,,district_013D004,16.80381,96.13729
township_013040,Hlaing,MMR013040,,district_013D004,16.84793,96.12523
township_013041,Kamaryut,MMR013041,,district_013D004,16.82768,96.13244
township_013042,Mayangone,MMR013042,,district_013D004,16.86619,96.14261
township_013043,Dagon,MMR013043,,district_013D004,16.79495,96.1469
township_013044,Bahan,MMR013044,,district_013D004,16.81543,96.15611
township_013045,Seikkan,MMR013045,,district_013D004,,
township_013046,Hlaingtharya (East),MMR013046,,district_013D001,,
township_013047,Hlaingtharya (West),MMR013047,,district_013D001,,
township_014001,Taunggyi,MMR014001,,district_014D001,20.6701675,96.998735
township_014002,Nyaungshwe,MMR014002,,district_014D001,20.55725,96.91901
township_014003,Hopong,MMR014003,,district_014S002,20.79743,97.17024
township_014004,Hsihseng,MMR014004,,district_014S002,20.16227,97.2519
township_014005,Kalaw,MMR014005,,district_014D001,20.66916667,96.67279333
township_014006,Pindaya,MMR014006,,district_014S001,20.94158,96.66279
township_014007,Ywangan,MMR014007,,district_014S001,21.16282,96.44229
township_014008,Lawksawk,MMR014008,,district_014D001,21.43894,96.89385
township_014009,Pinlaung,MMR014009,,district_014S002,20.13463667,96.70721333
township_014010,Pekon,MMR014010,,district_014D001,19.86348,97.00831
township_014011,Loilen,MMR014011,,district_014D002,20.95818,97.548905
township_014012,Laihka,MMR014012,,district_014D002,21.27024,97.66509
township_014013,Nansang,MMR014013,,district_014D002,20.993995,97.91054
township_014014,Kunhing,MMR014014,,district_014D002,21.29486,98.478905
township_014015,Kyethi,MMR014015,,district_014D002,21.785075,97.971165
township_014016,Mongkaing,MMR014016,,district_014D002,21.61149,97.52699
township_014017,Monghsu,MMR014017,,district_014D002,21.78251,98.3625
township_014018,Langkho,MMR014018,,district_014D003,20.05561,97.991355
township_014019,Mongnai,MMR014019,,district_014D003,20.63544,98.082265
township_014020,Mawkmai,MMR014020,,district_014D003,20.2305,97.72369
township_014021,Mongpan,MMR014021,,district_014D003,20.3188,98.3541
township_015001,Lashio,MMR015001,,district_015D001,22.95277,97.74747
township_015002,Hseni,MMR015002,,district_015D001,23.3072,97.9736
township_015003,Mongyai,MMR015003,,district_015D001,22.42762,98.039
township_015004,Tangyan,MMR015004,,district_015D001,22.4981,98.3968
township_015005,Pangsang (Panghkam),MMR015005,,district_015D007,22.43274,98.882815
