id,name,code,township_id:id,name_mm
town_005002701,Myinmu Town,MMR005002701,township_005002,မြင်းမူ
town_005003701,Myaung Town,MMR005003701,township_005003,မြောင်
town_005004701,Shwebo Town,MMR005004701,township_005004,ရွှေဘို
town_005004702,Kyauk Myaung Town,MMR005004702,township_005004,​ကျောက်မြောင်း
town_005005701,Khin-U Town,MMR005005701,township_005005,ခင်ဦး
town_005006701,Wetlet Town,MMR005006701,township_005006,ဝက်လက်
town_005007701,Kanbalu Town,MMR005007701,township_005007,ကန့်ဘလူ
town_005007702,Zee Kone Town,MMR005007702,township_005007,ဇီးကုန်း
town_005008701,Kyunhla Town,MMR005008701,township_005008,ကျွန်းလှ
town_005009701,Ye-U Town,MMR005009701,township_005009,ရေဦး
town_005010701,Tabayin Town,MMR005010701,township_005010,ဒီပဲယင်း
town_005010702,Saing Pyin Town,MMR005010702,township_005010,စိုင်ပြင်
town_005011701,Taze Town,MMR005011701,township_005011,တန့်ဆည်
town_005012701,Monywa Town,MMR005012701,township_005012,မုံရွာ
town_005013701,Budalin Town,MMR005013701,township_005013,ဘုတလင်
town_005014701,Ayadaw Town,MMR005014701,township_005014,အရာတော်
town_005015701,Chaung-U Town,MMR005015701,township_005015,ချောင်းဦး
town_005016701,Yinmarbin Town,MMR005016701,township_005016,ယင်းမာပင်
town_005017701,Kani Town,MMR005017701,township_005017,ကနီ
town_005018701,Salingyi Town,MMR005018701,township_005018,ဆားလင်းကြီး
town_005019701,Pale Town,MMR005019701,township_005019,ပုလဲ
town_005020701,Katha Town,MMR005020701,township_005020,ကသာ
town_005021701,Indaw Town,MMR005021701,township_005021,အင်းတော်
town_005021702,Maw Lu Town,MMR005021702,township_005021,မော်လူး
town_005022701,Tigyaing Town,MMR005022701,township_005022,ထီးချိုင့်
town_005023701,Banmauk Town,MMR005023701,township_005023,ဗန်းမောက်
town_005024701,Kawlin Town,MMR005024701,township_005024,ကောလင်း
town_005025701,Wuntho Town,MMR005025701,township_005025,ဝန်းသို
town_005026701,Pinlebu Town,MMR005026701,township_005026,ပင်လည်ဘူး
town_005027701,Kale Town,MMR005027701,township_005027,ကလေး
town_005028701,Kalewa Town,MMR005028701,township_005028,ကလေးဝ
town_005029701,Mingin Town,MMR005029701,township_005029,မင်းကင်း
town_005030701,Tamu Town,MMR005030701,township_005030,တမူး
town_005030702,Myothit Town,MMR005030702,township_005030,မြို့သစ်
town_005030703,Khampat Town,MMR005030703,township_005030,ခါမ်းပါတ်
town_005031701,Mawlaik Town,MMR005031701,township_005031,မော်လိုက်
town_005032701,Paungbyin Town,MMR005032701,township_005032,ဖောင်းပြင်
town_005033701,Hkamti Town,MMR005033701,township_005033,ခန္တီး
town_005034701,Homalin Town,MMR005034701,township_005034,ဟုမ္မလင်း
town_005034702,Shwe Pyi Aye Town,MMR005034702,township_005034,ရွှေပြည်အေး
town_005034703,Mo Waing Lut Town,MMR005034703,township_005034,မိုဝိုင်းလွတ်
town_005035701,Layshi Town,MMR005035701,township_005035,လေရှီး
town_005035702,Mowailut Town,MMR005035702,township_005035,မိုပိုင်းလွတ်
town_005035703,Somra Town,MMR005035703,township_005035,ဆွမ္မရာ
town_005036701,Lahe Town,MMR005036701,township_005036,လဟယ်
town_005036702,Thangpakwe Town,MMR005036702,township_005036,ထန်ပါခွေ
town_005037701,Namyung Town,MMR005037701,township_005037,နန်းယွန်း
town_005037702,Pansau Town,MMR005037702,township_005037,ပန်ဆောင်
town_005037703,Dohi Town,MMR005037703,township_005037,ဒုံဟီး
town_006001701,Dawei Town,MMR006001701,township_006001,ထားဝယ်
town_006001702,Myitta Town,MMR006001702,township_006001,မေတ္တာ
town_006002701,Launglon Town,MMR006002701,township_006002,လောင်းလုံး
town_006003701,Thayetchaung Town,MMR006003701,township_006003,သရက်ချောင်း
town_006004701,Yebyu Town,MMR006004701,township_006004,ရေဖြူ
town_006004702,Kaleinaung Town,MMR006004702,township_006004,ကလိန်အောင်
town_006005701,Myeik Town,MMR006005701,township_006005,မြိတ်
town_006006701,Kyunsu Town,MMR006006701,township_006006,ကျွန်းစု
town_006007701,Palaw Town,MMR006007701,township_006007,ပုလော
town_006007702,Palauk Town,MMR006007702,township_006007,ပလောက်
town_006007703,Pala Town,MMR006007703,township_006007,ပလ
town_006008701,Tanintharyi Town,MMR006008701,township_006008,တနင်္သာရီ
town_006008702,Maw Taung Town,MMR006008702,township_006008,မောတောင်
town_006009701,Kawthoung Town,MMR006009701,township_006009,ကော့သောင်း
town_006009702,Khamaukgyi Town,MMR006009702,township_006009,ခမောက်ကြီး
town_006010701,Bokpyin Town,MMR006010701,township_006010,ဘုတ်ပြင်း
town_006010702,Pyigyimandaing Town,MMR006010702,township_006010,ပြည်ကြီးမဏ္ဍိုင်
town_006010703,Karathuri Town,MMR006010703,township_006010,ကရသူရိ
town_007001701,Bago Town,MMR007001701,township_007001,ပဲခူး
town_007001702,Hpayargyi Town,MMR007001702,township_007001,ဘုရားကြီး
town_007001703,Inntakaw Town,MMR007001703,township_007001,အင်းတကော်
town_007002701,Thanatpin Town,MMR007002701,township_007002,သနပ်ပင်
town_007003701,Kawa Town,MMR007003701,township_007003,ကဝ
town_007003702,Thetkala Town,MMR007003702,township_007003,သက္ကလ
town_007004701,Waw Town,MMR007004701,township_007004,ဝေါ
town_007005701,Nyaunglebin Town,MMR007005701,township_007005,ညောင်လေးပင်
town_007005702,Madauk Town,MMR007005702,township_007005,မဒေါက်
town_007005703,Pyuntasa Town,MMR007005703,township_007005,ပြွန်တန်ဆာ
town_007005704,Peinzalok Town,MMR007005704,township_007005,ပိန်းဇလုပ်
town_007006701,Kyauktaga Town,MMR007006701,township_007006,ကျောက်တံခါး
town_007006702,Penwegon Town,MMR007006702,township_007006,ပဲနွယ်ကုန်း
town_007006703,Hpa Do Town,MMR007006703,township_007006,ဖဒို
town_007007701,Daik-U Town,MMR007007701,township_007007,ဒိုက်ဦး
town_007008701,Shwegyin Town,MMR007008701,township_007008,ရွှေကျင်
