id,name,name_mm,code,district_id:id
township_102,Mindon,မင်းတုန်း,MMR009014,district_D036
township_103,Minhla,မင်းလှ,MMR009013,district_D036
township_104,Myaing,မြိုင်,MMR009020,district_D037
township_105,Myothit,မြို့သစ်,MMR009005,district_D034
township_106,Natmauk,နတ်မောက်,MMR009006,district_D034
township_107,Ngape,ငဖဲ,MMR009009,district_D035
township_108,Pakokku,ပခုက္ကူ,MMR009018,district_D037
township_109,Pauk,ပေါက်,MMR009021,district_D037
township_110,Pwintbyu,ပွင့်ဖြူ,MMR009008,district_D035
township_111,Salin,စလင်း,MMR009010,district_D035
township_112,Saw,ဆော,MMR009025,district_D038
township_113,Seikphyu,ဆိပ်ဖြူ,MMR009022,district_D037
township_114,Sidoktaya,စေတုတ္ထရာ,MMR009011,district_D035
township_115,Sinbaungwe,ဆင်ပေါင်ဝဲ,MMR009017,district_D036
township_116,Taungdwingyi,တောင်တွင်းကြီး,MMR009004,district_D034
township_117,Thayet,သရက်,MMR009012,district_D036
township_118,Tilin,ထီးလင်း,MMR009024,district_D038
township_119,Yenangyaung,ရေနံချောင်း,MMR009002,district_D034
township_120,Yesagyo,ရေစကြို,MMR009019,district_D037
township_121,Amarapura,အမရပူရ,MMR010006,district_D039
township_122,Aungmyaythazan,အောင်မြေသာစံ,MMR010001,district_D039
township_123,Chanayethazan,ချမ်းအေးသာစံ,MMR010002,district_D039
township_124,Chanmyathazi,ချမ်းမြသာစည်,MMR010004,district_D039
township_125,Kyaukpadaung,ကျောက်ပန်းတောင်း,MMR010020,district_D043
township_126,Kyaukse,ကျောက်ဆည်,MMR010013,district_D041
township_127,Madaya,မတ္တရာ,MMR010009,district_D040
township_128,Mahaaungmyay,မဟာအောင်မြေ,MMR010003,district_D039
township_129,Mahlaing,မလှိုင်,MMR010029,district_D045
township_130,Meiktila,မိတ္ထီလာ,MMR010028,district_D045
township_131,Mogoke,မိုးကုတ်,MMR010011,district_D040
township_132,Myingyan,မြင်းခြံ,MMR010017,district_D042
township_133,Myittha,မြစ်သား,MMR010015,district_D041
township_134,Natogyi,နွားထိုးကြီး,MMR010019,district_D042
township_135,Ngazun,ငါန်းဇွန်,MMR010021,district_D042
township_136,Nyaung-U,ညောင်ဦး,MMR010022,district_D043
township_137,Patheingyi,ပုသိမ်ကြီး,MMR010007,district_D039
township_138,Pyawbwe,ပျော်ဘွယ်,MMR010024,district_D044
township_139,Pyigyitagon,ပြည်ကြီးတံခွန်,MMR010005,district_D039
township_140,Pyinoolwin,ပြင်ဦးလွင်,MMR010008,district_D040
township_141,Singu,စဉ့်ကူး,MMR010010,district_D040
township_142,Sintgaing,စဉ့်ကိုင်,MMR010014,district_D041
township_143,Tada-U,တံတားဦး,MMR010016,district_D041
township_144,Taungtha,တောင်သာ,MMR010018,district_D042
township_145,Thabeikkyin,သပိတ်ကျင်း,MMR010012,district_D040
township_146,Thazi,သာစည်,MMR010030,district_D045
township_147,Wundwin,ဝမ်းတွင်း,MMR010031,district_D045
township_148,Yamethin,ရမည်းသင်း,MMR010023,district_D044
township_149,Bilin,ဘီးလင်း,MMR011010,district_D047
township_150,Chaungzon,ချောင်းဆုံ,MMR011003,district_D046
township_151,Kyaikmaraw,ကျိုက်မရော,MMR011002,district_D046
township_152,Kyaikto,ကျိုက်ထို,MMR011009,district_D047
township_153,Mawlamyine,မော်လမြိုင်,MMR011001,district_D046
township_154,Mudon,မုဒုံ,MMR011005,district_D046
township_155,Paung,ပေါင်,MMR011008,district_D047
township_156,Thanbyuzayat,သံဖြူဇရပ်,MMR011004,district_D046
township_157,Thaton,သထုံ,MMR011007,district_D047
township_158,Ye,ရေး,MMR011006,district_D046
township_159,Det Khi Na Thi Ri,ဒက္ခိဏသီရိ,MMR018004,district_D088
township_160,Lewe,လယ်ဝေး,MMR018007,district_D088
township_161,Oke Ta Ra Thi Ri,ဥတ္တရသီရိ,MMR018008,district_D087
township_162,Poke Ba Thi Ri,ပုဗ္ဗသီရိ,MMR018005,district_D087
township_163,Pyinmana,ပျဉ်းမနား,MMR018006,district_D088
township_164,Tatkon,တပ်ကုန်း,MMR018003,district_D087
township_165,Za Bu Thi Ri,ဇမ္ဗူသီရိ,MMR018002,district_D088
township_166,Zay Yar Thi Ri,ဇေယျာသီရိ,MMR018001,district_D087
township_167,Ann,အမ်း,MMR012014,district_D050
township_168,Buthidaung,ဘူးသီးတောင်,MMR012010,district_D049
township_169,Gwa,ဂွ,MMR012017,district_D051
township_170,Kyaukpyu,ကျောက်ဖြူ,MMR012011,district_D050
township_171,Kyauktaw,ကျောက်တော်,MMR012004,district_D052
township_172,Maungdaw,မောင်တော,MMR012009,district_D049
township_173,Minbya,မင်းပြား,MMR012005,district_D052
township_174,Mrauk-U,မြောက်ဦး,MMR012003,district_D052
township_175,Munaung,မာန်အောင်,MMR012012,district_D050
township_176,Myebon,မြေပုံ,MMR012006,district_D052
township_177,Pauktaw,ပေါက်တော,MMR012007,district_D048
township_178,Ponnagyun,ပုဏ္ဏားကျွန်း,MMR012002,district_D048
township_179,Ramree,ရမ်းဗြဲ,MMR012013,district_D050
township_180,Rathedaung,ရသေ့တောင်,MMR012008,district_D048
township_181,Sittwe,စစ်တွေ,MMR012001,district_D048
township_182,Thandwe,သံတွဲ,MMR012015,district_D051
township_183,Toungup,တောင်ကုတ်,MMR012016,district_D051
township_184,Ayadaw,အရာတော်,MMR005014,district_D017
township_185,Banmauk,ဗန်းမောက်,MMR005023,district_D018
township_186,Budalin,ဘုတလင်,MMR005013,district_D017
township_187,Chaung-U,ချောင်းဦး,MMR005015,district_D017
township_188,Hkamti,ခန္တီး,MMR005033,district_D022
township_189,Homalin,ဟုမ္မလင်း,MMR005034,district_D022
township_190,Indaw,အင်းတော်,MMR005021,district_D018
township_191,Kale,ကလေး,MMR005027,district_D019
township_192,Kalewa,ကလေးဝ,MMR005028,district_D019
township_193,Kanbalu,ကန့်ဘလူ,MMR005007,district_D024
township_194,Kani,ကနီ,MMR005017,district_D023
township_195,Katha,ကသာ,MMR005020,district_D018
township_196,Kawlin,ကောလင်း,MMR005024,district_D025
township_197,Khin-U,ခင်ဦး,MMR005005,district_D016
township_198,Kyunhla,ကျွန်းလှ,MMR005008,district_D024
township_199,Lahe,လဟယ်,MMR005036,district_D026
township_200,Layshi,လေရှီး,MMR005035,district_D026
township_201,Mawlaik,မော်လိုက်,MMR005031,district_D021
township_202,Mingin,မင်းကင်း,MMR005029,district_D019
township_203,Monywa,မုံရွာ,MMR005012,district_D017
township_204,Myaung,မြောင်,MMR005003,district_D015
township_205,Myinmu,မြင်းမူ,MMR005002,district_D015
township_206,Nanyun,နန်းယွန်း,MMR005037,district_D026
township_207,Pale,ပုလဲ,MMR005019,district_D023
township_208,Paungbyin,ဖောင်းပြင်,MMR005032,district_D021
township_209,Pinlebu,ပင်လည်ဘူး,MMR005026,district_D025
township_210,Sagaing,စစ်ကိုင်း,MMR005001,district_D015
township_211,Salingyi,ဆားလင်းကြီး,MMR005018,district_D023
township_212,Shwebo,ရွှေဘို,MMR005004,district_D016
township_213,Tabayin,ဒီပဲယင်း,MMR005010,district_D016
township_214,Tamu,တမူး,MMR005030,district_D020
township_215,Taze,တန့်ဆည်,MMR005011,district_D016
township_216,Tigyaing,ထီးချိုင့်,MMR005022,district_D018
township_217,Wetlet,ဝက်လက်,MMR005006,district_D016
township_218,Wuntho,ဝန်းသို,MMR005025,district_D025
township_219,Ye-U,ရေဦး,MMR005009,district_D016
township_220,Yinmarbin,ယင်းမာပင်,MMR005016,district_D023
township_221,Ho Tawng (Ho Tao),ဟိုတောင်း,MMR016320,district_D080
township_222,Kengtung,ကျိုင်းတုံ,MMR016001,district_D076
township_223,Mong Hpen,မိုင်းဖျန်,MMR016319,district_D080
township_224,Mong Kar,မိုင်းကာ,MMR016322,district_D080
township_225,Mong Pawk,မိုင်းပေါက်,MMR016321,district_D080
township_226,Monghpyak,မိုင်းဖြတ်,MMR016010,district_D078
township_227,Monghsat,မိုင်းဆတ်,MMR016006,district_D077
township_228,Mongkhet,မိုင်းခတ်,MMR016002,district_D076
township_229,Mongla,မိုင်းလား,MMR016005,district_D076
township_230,Mongping,မိုင်းပျဉ်း,MMR016007,district_D076
township_231,Mongton,မိုင်းတုံ,MMR016008,district_D077
township_232,Mongyang,မိုင်းယန်း,MMR016003,district_D076
township_233,Mongyawng,မိုင်းယောင်း,MMR016011,district_D078
township_234,Nam Hpai,နမ့်ဖိုင်,MMR016323,district_D080
township_235,Tachileik,တာချီလိတ်,MMR016009,district_D078
township_236,Aik Chan (Ai' Chun),အိုက်ချန်,MMR015311,district_D071
